Country,Event month,Event Type,Events
Afghanistan,2021-01-01,Battles,660
Afghanistan,2021-01-01,Explosions/Remote violence,271
Afghanistan,2021-01-01,Protests,17
Afghanistan,2021-01-01,Riots,1
Afghanistan,2021-01-01,Strategic developments,36
Afghanistan,2021-01-01,Violence against civilians,70
Algeria,2021-01-01,Battles,5
Algeria,2021-01-01,Explosions/Remote violence,1
Algeria,2021-01-01,Protests,183
Algeria,2021-01-01,Riots,19
Algeria,2021-01-01,Strategic developments,1
Algeria,2021-01-01,Violence against civilians,0
Azerbaijan,2021-01-01,Battles,1
Azerbaijan,2021-01-01,Explosions/Remote violence,8
Azerbaijan,2021-01-01,Protests,5
Azerbaijan,2021-01-01,Riots,0
Azerbaijan,2021-01-01,Strategic developments,2
Azerbaijan,2021-01-01,Violence against civilians,1
Bangladesh,2021-01-01,Battles,4
Bangladesh,2021-01-01,Explosions/Remote violence,0
Bangladesh,2021-01-01,Protests,141
Bangladesh,2021-01-01,Riots,40
Bangladesh,2021-01-01,Strategic developments,1
Bangladesh,2021-01-01,Violence against civilians,10
Belize,2021-01-01,Battles,1
Belize,2021-01-01,Explosions/Remote violence,0
Belize,2021-01-01,Protests,1
Belize,2021-01-01,Riots,0
Belize,2021-01-01,Strategic developments,2
Belize,2021-01-01,Violence against civilians,11
Benin,2021-01-01,Battles,1
Benin,2021-01-01,Explosions/Remote violence,0
Benin,2021-01-01,Protests,0
Benin,2021-01-01,Riots,4
Benin,2021-01-01,Strategic developments,0
Benin,2021-01-01,Violence against civilians,2
Brazil,2021-01-01,Battles,380
Brazil,2021-01-01,Explosions/Remote violence,2
Brazil,2021-01-01,Protests,335
Brazil,2021-01-01,Riots,50
Brazil,2021-01-01,Strategic developments,30
Brazil,2021-01-01,Violence against civilians,289
Burkina Faso,2021-01-01,Battles,15
Burkina Faso,2021-01-01,Explosions/Remote violence,2
Burkina Faso,2021-01-01,Protests,3
Burkina Faso,2021-01-01,Riots,1
Burkina Faso,2021-01-01,Strategic developments,11
Burkina Faso,2021-01-01,Violence against civilians,44
Burundi,2021-01-01,Battles,5
Burundi,2021-01-01,Explosions/Remote violence,0
Burundi,2021-01-01,Protests,2
Burundi,2021-01-01,Riots,1
Burundi,2021-01-01,Strategic developments,1
Burundi,2021-01-01,Violence against civilians,32
Cameroon,2021-01-01,Battles,79
Cameroon,2021-01-01,Explosions/Remote violence,11
Cameroon,2021-01-01,Protests,13
Cameroon,2021-01-01,Riots,10
Cameroon,2021-01-01,Strategic developments,51
Cameroon,2021-01-01,Violence against civilians,65
Central African Republic,2021-01-01,Battles,28
Central African Republic,2021-01-01,Explosions/Remote violence,2
Central African Republic,2021-01-01,Protests,2
Central African Republic,2021-01-01,Riots,2
Central African Republic,2021-01-01,Strategic developments,28
Central African Republic,2021-01-01,Violence against civilians,36
Chad,2021-01-01,Battles,5
Chad,2021-01-01,Explosions/Remote violence,0
Chad,2021-01-01,Protests,2
Chad,2021-01-01,Riots,2
Chad,2021-01-01,Strategic developments,0
Chad,2021-01-01,Violence against civilians,0
Chile,2021-01-01,Battles,7
Chile,2021-01-01,Explosions/Remote violence,0
Chile,2021-01-01,Protests,43
Chile,2021-01-01,Riots,23
Chile,2021-01-01,Strategic developments,25
Chile,2021-01-01,Violence against civilians,6
Colombia,2021-01-01,Battles,60
