Country,Event month,Event Type,Fatalities
Afghanistan,2021-01-01,Battles,2305
Afghanistan,2021-01-01,Explosions/Remote violence,645
Afghanistan,2021-01-01,Protests,11
Afghanistan,2021-01-01,Riots,0
Afghanistan,2021-01-01,Strategic developments,42
Afghanistan,2021-01-01,Violence against civilians,52
Algeria,2021-01-01,Battles,12
Algeria,2021-01-01,Explosions/Remote violence,5
Algeria,2021-01-01,Protests,0
Algeria,2021-01-01,Riots,0
Algeria,2021-01-01,Strategic developments,0
Algeria,2021-01-01,Violence against civilians,0
Azerbaijan,2021-01-01,Battles,0
Azerbaijan,2021-01-01,Explosions/Remote violence,3
Azerbaijan,2021-01-01,Protests,0
Azerbaijan,2021-01-01,Riots,0
Azerbaijan,2021-01-01,Strategic developments,0
Azerbaijan,2021-01-01,Violence against civilians,1
Bangladesh,2021-01-01,Battles,3
Bangladesh,2021-01-01,Explosions/Remote violence,0
Bangladesh,2021-01-01,Protests,0
Bangladesh,2021-01-01,Riots,9
Bangladesh,2021-01-01,Strategic developments,0
Bangladesh,2021-01-01,Violence against civilians,10
Belize,2021-01-01,Battles,0
Belize,2021-01-01,Explosions/Remote violence,0
Belize,2021-01-01,Protests,0
Belize,2021-01-01,Riots,0
Belize,2021-01-01,Strategic developments,0
Belize,2021-01-01,Violence against civilians,4
Benin,2021-01-01,Battles,0
Benin,2021-01-01,Explosions/Remote violence,0
Benin,2021-01-01,Protests,0
Benin,2021-01-01,Riots,3
Benin,2021-01-01,Strategic developments,0
Benin,2021-01-01,Violence against civilians,6
Brazil,2021-01-01,Battles,298
Brazil,2021-01-01,Explosions/Remote violence,0
Brazil,2021-01-01,Protests,0
Brazil,2021-01-01,Riots,2
Brazil,2021-01-01,Strategic developments,0
Brazil,2021-01-01,Violence against civilians,266
Burkina Faso,2021-01-01,Battles,52
Burkina Faso,2021-01-01,Explosions/Remote violence,20
Burkina Faso,2021-01-01,Protests,0
Burkina Faso,2021-01-01,Riots,0
Burkina Faso,2021-01-01,Strategic developments,0
Burkina Faso,2021-01-01,Violence against civilians,42
Burundi,2021-01-01,Battles,2
Burundi,2021-01-01,Explosions/Remote violence,0
Burundi,2021-01-01,Protests,0
Burundi,2021-01-01,Riots,0
Burundi,2021-01-01,Strategic developments,0
Burundi,2021-01-01,Violence against civilians,26
Cameroon,2021-01-01,Battles,122
Cameroon,2021-01-01,Explosions/Remote violence,5
Cameroon,2021-01-01,Protests,0
Cameroon,2021-01-01,Riots,2
Cameroon,2021-01-01,Strategic developments,0
Cameroon,2021-01-01,Violence against civilians,43
Central African Republic,2021-01-01,Battles,112
Central African Republic,2021-01-01,Explosions/Remote violence,21
Central African Republic,2021-01-01,Protests,0
Central African Republic,2021-01-01,Riots,0
Central African Republic,2021-01-01,Strategic developments,0
Central African Republic,2021-01-01,Violence against civilians,25
Chad,2021-01-01,Battles,12
Chad,2021-01-01,Explosions/Remote violence,0
Chad,2021-01-01,Protests,0
Chad,2021-01-01,Riots,0
Chad,2021-01-01,Strategic developments,0
Chad,2021-01-01,Violence against civilians,0
Chile,2021-01-01,Battles,2
Chile,2021-01-01,Explosions/Remote violence,0
Chile,2021-01-01,Protests,0
Chile,2021-01-01,Riots,0
Chile,2021-01-01,Strategic developments,0
Chile,2021-01-01,Violence against civilians,1
Colombia,2021-01-01,Battles,24
Colombia,2021-01-01,Explosions/Remote violence,3
Colombia,2021-01-01,Protests,0
Colombia,2021-01-01,Riots,2
Colombia,2021-01-01,Strategic developments,0
Colombia,2021-01-01,Violence against civilians,144
Democratic Republic of Congo,2021-01-01,Battles,323
Democratic Republic of Congo,2021-01-01,Explosions/Remote violence,0
Democratic Republic of Congo,2021-01-01,Protests,1
Democratic Republic of Congo,2021-01-01,Riots,28
Democratic Republic of Congo,2021-01-01,Strategic developments,0
Democratic Republic of Congo,2021-01-01,Violence against civilians,200
Egypt,2021-01-01,Battles,2
Egypt,2021-01-01,Explosions/Remote violence,38
Egypt,2021-01-01,Protests,0
Egypt,2021-01-01,Riots,0
Egypt,2021-01-01,Strategic developments,0
Egypt,2021-01-01,Violence against civilians,3
El Salvador,2021-01-01,Battles,13
El Salvador,2021-01-01,Explosions/Remote violence,0
El Salvador,2021-01-01,Protests,0
El Salvador,2021-01-01,Riots,0
El Salvador,2021-01-01,Strategic developments,0
El Salvador,2021-01-01,Violence against civilians,31
Ethiopia,2021-01-01,Battles,113
Ethiopia,2021-01-01,Explosions/Remote violence,0
Ethiopia,2021-01-01,Protests,0
Ethiopia,2021-01-01,Riots,1
Ethiopia,2021-01-01,Strategic developments,0
Ethiopia,2021-01-01,Violence against civilians,449
Greece,2021-01-01,Battles,0
Greece,2021-01-01,Explosions/Remote violence,0
Greece,2021-01-01,Protests,0
Greece,2021-01-01,Riots,0
Greece,2021-01-01,Strategic developments,0
Greece,2021-01-01,Violence against civilians,0
Guatemala,2021-01-01,Battles,46
Guatemala,2021-01-01,Explosions/Remote violence,0
Guatemala,2021-01-01,Protests,0
Guatemala,2021-01-01,Riots,0
Guatemala,2021-01-01,Strategic developments,0
Guatemala,2021-01-01,Violence against civilians,12
Guyana,2021-01-01,Battles,0
Guyana,2021-01-01,Explosions/Remote violence,0
Guyana,2021-01-01,Protests,0
Guyana,2021-01-01,Riots,0
Guyana,2021-01-01,Strategic developments,0
Guyana,2021-01-01,Violence against civilians,0
Haiti,2021-01-01,Battles,15
Haiti,2021-01-01,Explosions/Remote violence,0
Haiti,2021-01-01,Protests,0
Haiti,2021-01-01,Riots,1
Haiti,2021-01-01,Strategic developments,0
Haiti,2021-01-01,Violence against civilians,15
Honduras,2021-01-01,Battles,5
Honduras,2021-01-01,Explosions/Remote violence,0
Honduras,2021-01-01,Protests,0
